Date Time Hour Beginning,Original Res Forecast before Lockdown,Residual Forecast,RSA Contracted Forecast,Dispatchable Generation,Residual Demand,RSA Contracted Demand,International Exports,International Imports,Thermal Generation,Nuclear Generation,Eskom Gas Generation,Eskom OCGT Generation,Hydro Water Generation,Pumped Water Generation,ILS Usage,Manual Load_Reduction(MLR),IOS Excl ILS and MLR,Dispatchable IPP OCGT,Eskom Gas SCO,Eskom OCGT SCO,Hydro Water SCO,Pumped Water SCO Pumping,Wind,PV,CSP,Other RE,Total RE,Wind Installed Capacity,PV Installed Capacity,CSP Installed Capacity,Other RE Installed Capacity,Total RE Installed Capacity,Installed Eskom Capacity,Total PCLF,Total UCLF,Total OCLF,Total UCLF+OCLF,Non Comm Sentout,Drakensberg Gen Unit Hours,Palmiet Gen Unit Hours,Ingula Gen Unit Hours
2018-04-01 12:00:00 AM,,19904.967,20367.066,20237.0,20237.0,20722.058,1215.902,1120.0,19444.0,931.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-1614.0,454.964,0.0,17.555,12.539,485.058,2077.72,1474.19,300.0,21.78,3873.69,44546.0,3987.472,8028.71,275.907,8304,617,383.0,81.8,36.9,30.41
2018-04-01 01:00:00 AM,,19553.899,19988.733,19744.0,19744.0,20188.493,1203.474,1106.0,19297.0,930.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-1945.0,392.958,0.0,39.131,12.404,444.493,2077.72,1474.19,300.0,21.78,3873.69,44546.0,3987.472,7727.302,244.907,7972,209,388.0,83.0,38.5,32.85
2018-04-01 02:00:00 AM,,19314.284,19731.239,19631.0,19631.0,20019.603,1177.571,1117.0,19165.0,931.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-1938.0,337.358,0.0,39.163,12.082,388.603,2077.72,1474.19,300.0,21.78,3873.69,44546.0,3987.472,7704.704,193.727,7898,431,388.0,83.8,40.3,35.6
2018-04-01 03:00:00 AM,,19342.679,19753.554,19731.0,19731.0,20079.454,1184.312,1118.0,19279.0,930.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-1952.0,297.234,0.0,38.942,12.278,348.454,2077.72,1474.19,300.0,21.78,3873.69,44546.0,3990.072,7702.868,187.0,7889,868,389.0,85.0,42.0,37.76
2018-04-01 04:00:00 AM,,19538.89,19988.365,19890.0,19890.0,20237.49,1197.271,1108.0,19369.0,930.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-1873.0,309.978,0.0,25.024,12.488,347.49,2077.72,1474.19,300.0,21.78,3873.69,44546.0,3990.472,7685.115,187.0,7872,115,385.0,85.8,43.7,40.32
2018-04-01 05:00:00 AM,,20103.838,20600.806,20372.0,20372.0,20729.45,1270.385,1125.0,19342.0,931.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-1382.0,345.302,0.0,0.0,12.148,357.45,2077.72,1474.19,300.0,21.78,3873.69,44546.0,4017.139,7724.264,187.0,7911,264,384.0,87.0,45.6,42.74
2018-04-01 06:00:00 AM,,21036.213,21560.2,21280.0,21280.0,21636.397,1289.362,1178.0,19363.0,931.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-548.0,335.408,8.849,0.0,12.14,356.397,2077.72,1474.19,300.0,21.78,3873.69,44546.0,4054.472,7588.141,187.0,7775,141,383.0,87.4,47.2,44.44
2018-04-01 07:00:00 AM,,22681.703,23447.173,22651.0,22651.0,23317.205,1367.023,1214.0,19867.0,932.0,0.0,0.0,475.0,208.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-41.0,364.519,289.484,0.257,11.945,666.205,2077.72,1474.19,300.0,21.78,3873.69,44546.0,4639.472,7473.138,187.0,7660,138,380.0,87.8,47.6,44.82
2018-04-01 08:00:00 AM,,24013.352,25242.639,23677.0,23677.0,24814.033,1396.007,1236.0,20645.0,931.0,0.0,0.0,481.0,416.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-28.0,325.85,757.341,42.06,11.782,1137.033,2077.72,1474.19,300.0,21.78,3873.69,44546.0,4639.472,7338.785,187.0,7525,785,384.0,87.4,47.2,44.69
2018-04-01 09:00:00 AM,,24241.366,25795.037,24053.0,24053.0,25485.461,1395.675,1234.0,20880.0,931.0,0.0,0.0,362.0,679.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,-29.0,298.114,1023.372,98.601,12.374,1432.461,2077.72,1474.19,300.0,21.78,3873.69,44546.0,4639.472,7503.23,187.0,7690,23,386.0,87.4,46.0,43.93
